tests;seed;receptionProbability;k; avgTime;stDevTime;maxTime; avgEnergy;stDevEnergy;maxEnergy
100000;1277385459165;1.0;10;730.74969;198.31143717623527;1024;11.45265;1.9322002943534642;18
100000;1277385459165;1.0;11;1462.14883;395.31953753847284;2048;12.58182;2.014260531212201;20
100000;1277385459165;1.0;12;2926.46187;792.8079867572623;4096;13.71094;2.1016813070491076;21
100000;1277385459165;1.0;13;5849.56604;1586.1151902112288;8192;14.81636;2.1922947681370837;23
100000;1277385459165;1.0;14;11684.46345;3174.5069998448835;16384;15.93862;2.268226729321141;25
100000;1277385459165;1.0;15;23358.12692;6359.427785658961;32768;17.07673;2.3332472023138506;27
100000;1277385459165;1.0;16;46788.97181;12708.897559151064;65536;18.21155;2.414087114727706;28
100000;1277385459165;1.0;17;93488.80024;25447.950731640492;131072;19.3256;2.4912536281961897;30
100000;1277385459165;1.0;18;186989.88741;50791.88151030617;262143;20.46133;2.538854984259282;30
100000;1277385459165;1.0;19;375153.3853;101579.12465743718;524288;21.59699;2.6219177980822197;32
100000;1277385459165;1.0;20;749638.18818;202266.06550471825;1048576;22.72114;2.6862831385392862;34
tests;seed;receptionProbability;k; avgTime;stDevTime;maxTime; avgEnergy;stDevEnergy;maxEnergy
100000;1277385906554;0.7;10;1407.40798;930.9209461024703;9804;17.0189;4.538799708072295;41
100000;1277385906554;0.7;11;2810.36942;1846.8716628366167;22409;18.73325;4.767906714429431;52
100000;1277385906554;0.7;12;5639.85399;3719.7196721864593;47259;20.41409;4.995724118873764;49
100000;1277385906554;0.7;13;11243.569;7404.609874945422;108729;22.11545;5.209236152978913;51
100000;1277385906554;0.7;14;22546.70357;14786.282845004005;172272;23.81529;5.409392961866186;53
100000;1277385906554;0.7;15;45202.05934;29716.587260129978;324906;25.51533;5.616408549161993;55
100000;1277385906554;0.7;16;90208.75588;59528.73776222807;694824;27.21372;5.82061025680459;58
100000;1277385906554;0.7;17;179775.84902;117733.42880737103;1409161;28.92094;6.008526401406183;66
100000;1277385906554;0.7;18;361222.05405;237425.67426250497;2872028;30.61754;6.171990306896294;69
100000;1277385906554;0.7;19;719648.14047;472831.106516969;5033344;32.29475;6.343433804927152;69
100000;1277385906554;0.7;20;1437720.81016;943560.3883830385;12270011;33.95541;6.5336912792009345;72
