tests;seed;receptionProbability;k; avgTime;stDevTime;maxTime; avgEnergy;stDevEnergy;maxEnergy
100000;1277484595952;0.75;10;1257.49587;796.2330993892103;9212;15.78536;4.009564773189249;39
100000;1277484595952;0.75;11;2511.82776;1591.6923005573003;19523;17.35645;4.209296069118646;43
100000;1277484595952;0.75;12;5028.8826;3188.044880191816;39929;18.90709;4.395181194431947;45
100000;1277484595952;0.75;13;10076.62624;6393.842918610295;72393;20.48147;4.6047450134753545;49
100000;1277484595952;0.75;14;20128.59899;12665.453297861055;152597;22.06203;4.771102836776139;49
100000;1277484595952;0.75;15;40307.70603;25572.1471552178;389210;23.61232;4.953805024181626;52
100000;1277484595952;0.75;16;80446.84285;50864.098893170194;637729;25.19656;5.141517690954753;58
100000;1277484595952;0.75;17;161072.34758;102075.30760885178;1252098;26.78021;5.28738899230402;57
100000;1277484595952;0.75;18;321451.34526;203763.52283477326;2580748;28.33382;5.423659669224432;57
100000;1277484595952;0.75;19;644268.12318;408799.9318987948;4888111;29.90067;5.592413034736898;61
100000;1277484595952;0.75;20;1284563.57367;813568.1950879534;11629743;31.46114;5.746368409735504;60
100000;1277484595952;0.75;21;2571692.50432;1630145.4706905927;18161154;33.0189;5.875035556488132;66
100000;1277484595952;0.75;22;5152898.89817;3258198.9441489624;36361158;34.59706;6.029195581201202;70
100000;1277484595952;0.75;23;1.030450633165E7;6545037.872730987;84529048;36.16004;6.191706323656915;72
100000;1277484595952;0.75;24;2.069276388323E7;1.3041261598378172E7;147629180;37.76571;6.308026489790162;70
100000;1277484595952;0.75;25;4.133860768403E7;2.6148773693152487E7;310568179;39.32405;6.44187562729212;71
